zthour,device_number,day,treatment,sex,pellets,dosage
4,12,1,SCH23390,m,15,0.3 mg/kg
5,12,1,SCH23390,m,9,0.3 mg/kg
6,12,1,SCH23390,m,22,0.3 mg/kg
7,12,1,SCH23390,m,9,0.3 mg/kg
8,12,1,SCH23390,m,12,0.3 mg/kg
9,12,1,SCH23390,m,8,0.3 mg/kg
10,12,1,SCH23390,m,12,0.3 mg/kg
11,12,1,SCH23390,m,5,0.3 mg/kg
12,12,1,SCH23390,m,8,0.3 mg/kg
13,12,1,SCH23390,m,4,0.3 mg/kg
14,12,1,SCH23390,m,21,0.3 mg/kg
15,12,1,SCH23390,m,8,0.3 mg/kg
16,12,1,SCH23390,m,8,0.3 mg/kg
17,12,1,SCH23390,m,12,0.3 mg/kg
18,12,1,SCH23390,m,10,0.3 mg/kg
19,12,1,SCH23390,m,6,0.3 mg/kg
20,12,1,SCH23390,m,8,0.3 mg/kg
21,12,1,SCH23390,m,10,0.3 mg/kg
22,12,1,SCH23390,m,7,0.3 mg/kg
23,12,1,SCH23390,m,2,0.3 mg/kg
0,12,3,haloperidol,m,4,0.3 mg/kg
1,12,3,haloperidol,m,1,0.3 mg/kg
2,12,3,haloperidol,m,5,0.3 mg/kg
3,12,3,haloperidol,m,9,0.3 mg/kg
4,12,3,haloperidol,m,10,0.3 mg/kg
5,12,3,haloperidol,m,10,0.3 mg/kg
6,12,3,haloperidol,m,16,0.3 mg/kg
7,12,3,haloperidol,m,7,0.3 mg/kg
8,12,3,haloperidol,m,18,0.3 mg/kg
9,12,3,haloperidol,m,2,0.3 mg/kg
10,12,3,haloperidol,m,11,0.3 mg/kg
11,12,3,haloperidol,m,10,0.3 mg/kg
12,12,3,haloperidol,m,10,0.3 mg/kg
13,12,3,haloperidol,m,14,0.3 mg/kg
14,12,3,haloperidol,m,12,0.3 mg/kg
15,12,3,haloperidol,m,1,0.3 mg/kg
16,12,3,haloperidol,m,17,0.3 mg/kg
17,12,3,haloperidol,m,4,0.3 mg/kg
18,12,3,haloperidol,m,5,0.3 mg/kg
19,12,3,haloperidol,m,8,0.3 mg/kg
20,12,3,haloperidol,m,5,0.3 mg/kg
21,12,3,haloperidol,m,1,0.3 mg/kg
22,12,3,haloperidol,m,1,0.3 mg/kg
23,12,3,haloperidol,m,0,0.3 mg/kg
0,12,5,saline,m,0,0.3 mg/kg
1,12,5,saline,m,11,0.3 mg/kg
2,12,5,saline,m,11,0.3 mg/kg
3,12,5,saline,m,11,0.3 mg/kg
4,12,5,saline,m,12,0.3 mg/kg
5,12,5,saline,m,16,0.3 mg/kg
6,12,5,saline,m,17,0.3 mg/kg
7,12,5,saline,m,8,0.3 mg/kg
8,12,5,saline,m,4,0.3 mg/kg
9,12,5,saline,m,0,0.3 mg/kg
10,12,5,saline,m,14,0.3 mg/kg
11,12,5,saline,m,14,0.3 mg/kg
12,12,5,saline,m,7,0.3 mg/kg
13,12,5,saline,m,10,0.3 mg/kg
14,12,5,saline,m,8,0.3 mg/kg
15,12,5,saline,m,19,0.3 mg/kg
16,12,5,saline,m,0,0.3 mg/kg
17,12,5,saline,m,14,0.3 mg/kg
18,12,5,saline,m,8,0.3 mg/kg
19,12,5,saline,m,0,0.3 mg/kg
20,12,5,saline,m,6,0.3 mg/kg
21,12,5,saline,m,0,0.3 mg/kg
22,12,5,saline,m,10,0.3 mg/kg
23,12,5,saline,m,2,0.3 mg/kg
0,13,1,SCH23390,m,3,0.3 mg/kg
1,13,1,SCH23390,m,19,0.3 mg/kg
2,13,1,SCH23390,m,25,0.3 mg/kg
3,13,1,SCH23390,m,20,0.3 mg/kg
4,13,1,SCH23390,m,20,0.3 mg/kg
5,13,1,SCH23390,m,25,0.3 mg/kg
6,13,1,SCH23390,m,9,0.3 mg/kg
7,13,1,SCH23390,m,12,0.3 mg/kg
8,13,1,SCH23390,m,14,0.3 mg/kg
9,13,1,SCH23390,m,15,0.3 mg/kg
10,13,1,SCH23390,m,9,0.3 mg/kg
11,13,1,SCH23390,m,7,0.3 mg/kg
12,13,1,SCH23390,m,0,0.3 mg/kg
13,13,1,SCH23390,m,18,0.3 mg/kg
14,13,1,SCH23390,m,6,0.3 mg/kg
15,13,1,SCH23390,m,9,0.3 mg/kg
16,13,1,SCH23390,m,13,0.3 mg/kg
17,13,1,SCH23390,m,8,0.3 mg/kg
18,13,1,SCH23390,m,7,0.3 mg/kg
19,13,1,SCH23390,m,16,0.3 mg/kg
20,13,1,SCH23390,m,11,0.3 mg/kg
21,13,1,SCH23390,m,6,0.3 mg/kg
22,13,1,SCH23390,m,3,0.3 mg/kg
23,13,1,SCH23390,m,11,0.3 mg/kg
0,13,3,haloperidol,m,2,0.3 mg/kg
1,13,3,haloperidol,m,6,0.3 mg/kg
2,13,3,haloperidol,m,14,0.3 mg/kg
3,13,3,haloperidol,m,33,0.3 mg/kg
4,13,3,haloperidol,m,7,0.3 mg/kg
5,13,3,haloperidol,m,0,0.3 mg/kg
6,13,3,haloperidol,m,1,0.3 mg/kg
7,13,3,haloperidol,m,0,0.3 mg/kg
8,13,3,haloperidol,m,0,0.3 mg/kg
9,13,3,haloperidol,m,0,0.3 mg/kg
10,13,3,haloperidol,m,0,0.3 mg/kg
11,13,3,haloperidol,m,0,0.3 mg/kg
12,13,3,haloperidol,m,0,0.3 mg/kg
13,13,3,haloperidol,m,0,0.3 mg/kg
14,13,3,haloperidol,m,0,0.3 mg/kg
15,13,3,haloperidol,m,0,0.3 mg/kg
16,13,3,haloperidol,m,0,0.3 mg/kg
17,13,3,haloperidol,m,0,0.3 mg/kg
18,13,3,haloperidol,m,0,0.3 mg/kg
19,13,3,haloperidol,m,0,0.3 mg/kg
20,13,3,haloperidol,m,0,0.3 mg/kg
21,13,3,haloperidol,m,28,0.3 mg/kg
22,13,3,haloperidol,m,13,0.3 mg/kg
23,13,3,haloperidol,m,18,0.3 mg/kg
0,13,5,saline,m,10,0.3 mg/kg
1,13,5,saline,m,14,0.3 mg/kg
2,13,5,saline,m,23,0.3 mg/kg
3,13,5,saline,m,13,0.3 mg/kg
4,13,5,saline,m,18,0.3 mg/kg
5,13,5,saline,m,28,0.3 mg/kg
6,13,5,saline,m,13,0.3 mg/kg
7,13,5,saline,m,11,0.3 mg/kg
8,13,5,saline,m,9,0.3 mg/kg
9,13,5,saline,m,14,0.3 mg/kg
10,13,5,saline,m,1,0.3 mg/kg
11,13,5,saline,m,17,0.3 mg/kg
12,13,5,saline,m,8,0.3 mg/kg
13,13,5,saline,m,5,0.3 mg/kg
14,13,5,saline,m,13,0.3 mg/kg
15,13,5,saline,m,11,0.3 mg/kg
16,13,5,saline,m,0,0.3 mg/kg
17,13,5,saline,m,11,0.3 mg/kg
18,13,5,saline,m,0,0.3 mg/kg
19,13,5,saline,m,12,0.3 mg/kg
20,13,5,saline,m,7,0.3 mg/kg
21,13,5,saline,m,13,0.3 mg/kg
22,13,5,saline,m,8,0.3 mg/kg
23,13,5,saline,m,16,0.3 mg/kg
0,14,1,haloperidol,m,6,0.3 mg/kg
1,14,1,haloperidol,m,0,0.3 mg/kg
2,14,1,haloperidol,m,10,0.3 mg/kg
3,14,1,haloperidol,m,6,0.3 mg/kg
4,14,1,haloperidol,m,6,0.3 mg/kg
5,14,1,haloperidol,m,14,0.3 mg/kg
6,14,1,haloperidol,m,18,0.3 mg/kg
7,14,1,haloperidol,m,23,0.3 mg/kg
8,14,1,haloperidol,m,18,0.3 mg/kg
9,14,1,haloperidol,m,21,0.3 mg/kg
10,14,1,haloperidol,m,5,0.3 mg/kg
11,14,1,haloperidol,m,16,0.3 mg/kg
12,14,1,haloperidol,m,7,0.3 mg/kg
13,14,1,haloperidol,m,3,0.3 mg/kg
14,14,1,haloperidol,m,11,0.3 mg/kg
15,14,1,haloperidol,m,9,0.3 mg/kg
16,14,1,haloperidol,m,9,0.3 mg/kg
17,14,1,haloperidol,m,8,0.3 mg/kg
18,14,1,haloperidol,m,11,0.3 mg/kg
19,14,1,haloperidol,m,5,0.3 mg/kg
20,14,1,haloperidol,m,0,0.3 mg/kg
21,14,1,haloperidol,m,8,0.3 mg/kg
22,14,1,haloperidol,m,1,0.3 mg/kg
23,14,1,haloperidol,m,7,0.3 mg/kg
0,14,3,saline,m,7,0.3 mg/kg
1,14,3,saline,m,6,0.3 mg/kg
2,14,3,saline,m,13,0.3 mg/kg
3,14,3,saline,m,7,0.3 mg/kg
4,14,3,saline,m,7,0.3 mg/kg
5,14,3,saline,m,8,0.3 mg/kg
6,14,3,saline,m,14,0.3 mg/kg
7,14,3,saline,m,9,0.3 mg/kg
8,14,3,saline,m,17,0.3 mg/kg
9,14,3,saline,m,14,0.3 mg/kg
10,14,3,saline,m,9,0.3 mg/kg
11,14,3,saline,m,7,0.3 mg/kg
12,14,3,saline,m,14,0.3 mg/kg
13,14,3,saline,m,0,0.3 mg/kg
14,14,3,saline,m,4,0.3 mg/kg
15,14,3,saline,m,0,0.3 mg/kg
16,14,3,saline,m,10,0.3 mg/kg
17,14,3,saline,m,7,0.3 mg/kg
18,14,3,saline,m,4,0.3 mg/kg
19,14,3,saline,m,5,0.3 mg/kg
20,14,3,saline,m,7,0.3 mg/kg
21,14,3,saline,m,4,0.3 mg/kg
22,14,3,saline,m,0,0.3 mg/kg
23,14,3,saline,m,10,0.3 mg/kg
0,14,5,SCH23390,m,0,0.3 mg/kg
1,14,5,SCH23390,m,0,0.3 mg/kg
2,14,5,SCH23390,m,10,0.3 mg/kg
3,14,5,SCH23390,m,13,0.3 mg/kg
4,14,5,SCH23390,m,6,0.3 mg/kg
5,14,5,SCH23390,m,11,0.3 mg/kg
6,14,5,SCH23390,m,9,0.3 mg/kg
7,14,5,SCH23390,m,12,0.3 mg/kg
8,14,5,SCH23390,m,12,0.3 mg/kg
9,14,5,SCH23390,m,11,0.3 mg/kg
10,14,5,SCH23390,m,4,0.3 mg/kg
11,14,5,SCH23390,m,14,0.3 mg/kg
12,14,5,SCH23390,m,8,0.3 mg/kg
13,14,5,SCH23390,m,8,0.3 mg/kg
14,14,5,SCH23390,m,0,0.3 mg/kg
15,14,5,SCH23390,m,9,0.3 mg/kg
16,14,5,SCH23390,m,0,0.3 mg/kg
17,14,5,SCH23390,m,14,0.3 mg/kg
18,14,5,SCH23390,m,0,0.3 mg/kg
19,14,5,SCH23390,m,11,0.3 mg/kg
20,14,5,SCH23390,m,4,0.3 mg/kg
21,14,5,SCH23390,m,0,0.3 mg/kg
22,14,5,SCH23390,m,5,0.3 mg/kg
23,14,5,SCH23390,m,11,0.3 mg/kg
0,15,1,saline,f,6,0.3 mg/kg
1,15,1,saline,f,6,0.3 mg/kg
2,15,1,saline,f,15,0.3 mg/kg
3,15,1,saline,f,7,0.3 mg/kg
4,15,1,saline,f,18,0.3 mg/kg
5,15,1,saline,f,14,0.3 mg/kg
6,15,1,saline,f,11,0.3 mg/kg
7,15,1,saline,f,12,0.3 mg/kg
8,15,1,saline,f,0,0.3 mg/kg
9,15,1,saline,f,12,0.3 mg/kg
10,15,1,saline,f,17,0.3 mg/kg
11,15,1,saline,f,18,0.3 mg/kg
12,15,1,saline,f,12,0.3 mg/kg
13,15,1,saline,f,2,0.3 mg/kg
14,15,1,saline,f,8,0.3 mg/kg
15,15,1,saline,f,4,0.3 mg/kg
16,15,1,saline,f,4,0.3 mg/kg
17,15,1,saline,f,8,0.3 mg/kg
18,15,1,saline,f,3,0.3 mg/kg
19,15,1,saline,f,5,0.3 mg/kg
20,15,1,saline,f,4,0.3 mg/kg
21,15,1,saline,f,5,0.3 mg/kg
22,15,1,saline,f,1,0.3 mg/kg
23,15,1,saline,f,4,0.3 mg/kg
0,15,3,SCH23390,f,0,0.3 mg/kg
1,15,3,SCH23390,f,5,0.3 mg/kg
2,15,3,SCH23390,f,7,0.3 mg/kg
3,15,3,SCH23390,f,11,0.3 mg/kg
4,15,3,SCH23390,f,15,0.3 mg/kg
5,15,3,SCH23390,f,11,0.3 mg/kg
6,15,3,SCH23390,f,19,0.3 mg/kg
7,15,3,SCH23390,f,7,0.3 mg/kg
8,15,3,SCH23390,f,7,0.3 mg/kg
9,15,3,SCH23390,f,16,0.3 mg/kg
10,15,3,SCH23390,f,9,0.3 mg/kg
11,15,3,SCH23390,f,11,0.3 mg/kg
12,15,3,SCH23390,f,9,0.3 mg/kg
13,15,3,SCH23390,f,8,0.3 mg/kg
14,15,3,SCH23390,f,2,0.3 mg/kg
15,15,3,SCH23390,f,0,0.3 mg/kg
16,15,3,SCH23390,f,5,0.3 mg/kg
17,15,3,SCH23390,f,7,0.3 mg/kg
18,15,3,SCH23390,f,4,0.3 mg/kg
19,15,3,SCH23390,f,0,0.3 mg/kg
20,15,3,SCH23390,f,4,0.3 mg/kg
21,15,3,SCH23390,f,5,0.3 mg/kg
22,15,3,SCH23390,f,6,0.3 mg/kg
23,15,3,SCH23390,f,5,0.3 mg/kg
0,15,5,haloperidol,f,5,0.3 mg/kg
1,15,5,haloperidol,f,2,0.3 mg/kg
2,15,5,haloperidol,f,1,0.3 mg/kg
3,15,5,haloperidol,f,8,0.3 mg/kg
4,15,5,haloperidol,f,10,0.3 mg/kg
5,15,5,haloperidol,f,11,0.3 mg/kg
6,15,5,haloperidol,f,19,0.3 mg/kg
7,15,5,haloperidol,f,11,0.3 mg/kg
8,15,5,haloperidol,f,12,0.3 mg/kg
9,15,5,haloperidol,f,22,0.3 mg/kg
10,15,5,haloperidol,f,12,0.3 mg/kg
11,15,5,haloperidol,f,18,0.3 mg/kg
12,15,5,haloperidol,f,8,0.3 mg/kg
13,15,5,haloperidol,f,9,0.3 mg/kg
14,15,5,haloperidol,f,7,0.3 mg/kg
15,15,5,haloperidol,f,0,0.3 mg/kg
16,15,5,haloperidol,f,8,0.3 mg/kg
17,15,5,haloperidol,f,6,0.3 mg/kg
18,15,5,haloperidol,f,7,0.3 mg/kg
19,15,5,haloperidol,f,6,0.3 mg/kg
20,15,5,haloperidol,f,10,0.3 mg/kg
21,15,5,haloperidol,f,6,0.3 mg/kg
22,15,5,haloperidol,f,8,0.3 mg/kg
23,15,5,haloperidol,f,5,0.3 mg/kg
0,16,1,saline,f,7,0.3 mg/kg
1,16,1,saline,f,0,0.3 mg/kg
2,16,1,saline,f,7,0.3 mg/kg
3,16,1,saline,f,8,0.3 mg/kg
4,16,1,saline,f,13,0.3 mg/kg
5,16,1,saline,f,10,0.3 mg/kg
6,16,1,saline,f,8,0.3 mg/kg
7,16,1,saline,f,17,0.3 mg/kg
8,16,1,saline,f,11,0.3 mg/kg
9,16,1,saline,f,11,0.3 mg/kg
10,16,1,saline,f,2,0.3 mg/kg
11,16,1,saline,f,10,0.3 mg/kg
12,16,1,saline,f,7,0.3 mg/kg
13,16,1,saline,f,1,0.3 mg/kg
14,16,1,saline,f,11,0.3 mg/kg
15,16,1,saline,f,5,0.3 mg/kg
16,16,1,saline,f,8,0.3 mg/kg
17,16,1,saline,f,2,0.3 mg/kg
18,16,1,saline,f,9,0.3 mg/kg
19,16,1,saline,f,0,0.3 mg/kg
20,16,1,saline,f,7,0.3 mg/kg
21,16,1,saline,f,3,0.3 mg/kg
22,16,1,saline,f,1,0.3 mg/kg
23,16,1,saline,f,7,0.3 mg/kg
0,16,3,SCH23390,f,3,0.3 mg/kg
1,16,3,SCH23390,f,5,0.3 mg/kg
2,16,3,SCH23390,f,6,0.3 mg/kg
3,16,3,SCH23390,f,9,0.3 mg/kg
4,16,3,SCH23390,f,10,0.3 mg/kg
5,16,3,SCH23390,f,7,0.3 mg/kg
6,16,3,SCH23390,f,13,0.3 mg/kg
7,16,3,SCH23390,f,15,0.3 mg/kg
8,16,3,SCH23390,f,14,0.3 mg/kg
9,16,3,SCH23390,f,14,0.3 mg/kg
10,16,3,SCH23390,f,10,0.3 mg/kg
11,16,3,SCH23390,f,4,0.3 mg/kg
12,16,3,SCH23390,f,7,0.3 mg/kg
13,16,3,SCH23390,f,5,0.3 mg/kg
14,16,3,SCH23390,f,7,0.3 mg/kg
15,16,3,SCH23390,f,2,0.3 mg/kg
16,16,3,SCH23390,f,13,0.3 mg/kg
17,16,3,SCH23390,f,2,0.3 mg/kg
18,16,3,SCH23390,f,5,0.3 mg/kg
19,16,3,SCH23390,f,7,0.3 mg/kg
20,16,3,SCH23390,f,5,0.3 mg/kg
21,16,3,SCH23390,f,13,0.3 mg/kg
22,16,3,SCH23390,f,1,0.3 mg/kg
23,16,3,SCH23390,f,7,0.3 mg/kg
0,16,5,haloperidol,f,4,0.3 mg/kg
1,16,5,haloperidol,f,2,0.3 mg/kg
2,16,5,haloperidol,f,3,0.3 mg/kg
3,16,5,haloperidol,f,7,0.3 mg/kg
4,16,5,haloperidol,f,6,0.3 mg/kg
5,16,5,haloperidol,f,14,0.3 mg/kg
6,16,5,haloperidol,f,16,0.3 mg/kg
7,16,5,haloperidol,f,13,0.3 mg/kg
8,16,5,haloperidol,f,11,0.3 mg/kg
9,16,5,haloperidol,f,16,0.3 mg/kg
10,16,5,haloperidol,f,7,0.3 mg/kg
11,16,5,haloperidol,f,12,0.3 mg/kg
12,16,5,haloperidol,f,16,0.3 mg/kg
13,16,5,haloperidol,f,2,0.3 mg/kg
14,16,5,haloperidol,f,6,0.3 mg/kg
15,16,5,haloperidol,f,12,0.3 mg/kg
16,16,5,haloperidol,f,5,0.3 mg/kg
17,16,5,haloperidol,f,0,0.3 mg/kg
18,16,5,haloperidol,f,6,0.3 mg/kg
19,16,5,haloperidol,f,6,0.3 mg/kg
20,16,5,haloperidol,f,7,0.3 mg/kg
21,16,5,haloperidol,f,7,0.3 mg/kg
22,16,5,haloperidol,f,5,0.3 mg/kg
23,16,5,haloperidol,f,7,0.3 mg/kg
0,17,1,SCH23390,f,5,0.3 mg/kg
1,17,1,SCH23390,f,7,0.3 mg/kg
2,17,1,SCH23390,f,10,0.3 mg/kg
3,17,1,SCH23390,f,12,0.3 mg/kg
4,17,1,SCH23390,f,17,0.3 mg/kg
5,17,1,SCH23390,f,13,0.3 mg/kg
6,17,1,SCH23390,f,8,0.3 mg/kg
7,17,1,SCH23390,f,7,0.3 mg/kg
8,17,1,SCH23390,f,9,0.3 mg/kg
9,17,1,SCH23390,f,1,0.3 mg/kg
10,17,1,SCH23390,f,0,0.3 mg/kg
11,17,1,SCH23390,f,14,0.3 mg/kg
12,17,1,SCH23390,f,5,0.3 mg/kg
13,17,1,SCH23390,f,11,0.3 mg/kg
14,17,1,SCH23390,f,10,0.3 mg/kg
15,17,1,SCH23390,f,5,0.3 mg/kg
16,17,1,SCH23390,f,9,0.3 mg/kg
17,17,1,SCH23390,f,5,0.3 mg/kg
18,17,1,SCH23390,f,9,0.3 mg/kg
19,17,1,SCH23390,f,15,0.3 mg/kg
20,17,1,SCH23390,f,7,0.3 mg/kg
21,17,1,SCH23390,f,6,0.3 mg/kg
22,17,1,SCH23390,f,10,0.3 mg/kg
23,17,1,SCH23390,f,6,0.3 mg/kg
0,17,3,haloperidol,f,1,0.3 mg/kg
1,17,3,haloperidol,f,2,0.3 mg/kg
2,17,3,haloperidol,f,5,0.3 mg/kg
3,17,3,haloperidol,f,16,0.3 mg/kg
4,17,3,haloperidol,f,10,0.3 mg/kg
5,17,3,haloperidol,f,8,0.3 mg/kg
6,17,3,haloperidol,f,19,0.3 mg/kg
7,17,3,haloperidol,f,19,0.3 mg/kg
8,17,3,haloperidol,f,7,0.3 mg/kg
9,17,3,haloperidol,f,9,0.3 mg/kg
10,17,3,haloperidol,f,10,0.3 mg/kg
11,17,3,haloperidol,f,12,0.3 mg/kg
12,17,3,haloperidol,f,6,0.3 mg/kg
13,17,3,haloperidol,f,8,0.3 mg/kg
14,17,3,haloperidol,f,7,0.3 mg/kg
15,17,3,haloperidol,f,15,0.3 mg/kg
16,17,3,haloperidol,f,1,0.3 mg/kg
17,17,3,haloperidol,f,5,0.3 mg/kg
18,17,3,haloperidol,f,7,0.3 mg/kg
19,17,3,haloperidol,f,6,0.3 mg/kg
20,17,3,haloperidol,f,5,0.3 mg/kg
21,17,3,haloperidol,f,1,0.3 mg/kg
22,17,3,haloperidol,f,4,0.3 mg/kg
23,17,3,haloperidol,f,8,0.3 mg/kg
0,17,5,saline,f,4,0.3 mg/kg
1,17,5,saline,f,4,0.3 mg/kg
2,17,5,saline,f,9,0.3 mg/kg
3,17,5,saline,f,15,0.3 mg/kg
4,17,5,saline,f,10,0.3 mg/kg
5,17,5,saline,f,9,0.3 mg/kg
6,17,5,saline,f,11,0.3 mg/kg
7,17,5,saline,f,12,0.3 mg/kg
8,17,5,saline,f,11,0.3 mg/kg
9,17,5,saline,f,9,0.3 mg/kg
10,17,5,saline,f,11,0.3 mg/kg
11,17,5,saline,f,0,0.3 mg/kg
12,17,5,saline,f,0,0.3 mg/kg
13,17,5,saline,f,0,0.3 mg/kg
14,17,5,saline,f,0,0.3 mg/kg
15,17,5,saline,f,0,0.3 mg/kg
16,17,5,saline,f,0,0.3 mg/kg
17,17,5,saline,f,0,0.3 mg/kg
18,17,5,saline,f,0,0.3 mg/kg
19,17,5,saline,f,0,0.3 mg/kg
20,17,5,saline,f,0,0.3 mg/kg
21,17,5,saline,f,0,0.3 mg/kg
22,17,5,saline,f,0,0.3 mg/kg
23,17,5,saline,f,0,0.3 mg/kg
0,18,1,SCH23390,f,5,0.3 mg/kg
1,18,1,SCH23390,f,4,0.3 mg/kg
2,18,1,SCH23390,f,8,0.3 mg/kg
3,18,1,SCH23390,f,15,0.3 mg/kg
4,18,1,SCH23390,f,13,0.3 mg/kg
5,18,1,SCH23390,f,16,0.3 mg/kg
6,18,1,SCH23390,f,16,0.3 mg/kg
7,18,1,SCH23390,f,17,0.3 mg/kg
8,18,1,SCH23390,f,21,0.3 mg/kg
9,18,1,SCH23390,f,9,0.3 mg/kg
10,18,1,SCH23390,f,8,0.3 mg/kg
11,18,1,SCH23390,f,15,0.3 mg/kg
12,18,1,SCH23390,f,5,0.3 mg/kg
13,18,1,SCH23390,f,15,0.3 mg/kg
14,18,1,SCH23390,f,4,0.3 mg/kg
15,18,1,SCH23390,f,7,0.3 mg/kg
16,18,1,SCH23390,f,13,0.3 mg/kg
17,18,1,SCH23390,f,6,0.3 mg/kg
18,18,1,SCH23390,f,11,0.3 mg/kg
19,18,1,SCH23390,f,4,0.3 mg/kg
20,18,1,SCH23390,f,8,0.3 mg/kg
21,18,1,SCH23390,f,2,0.3 mg/kg
22,18,1,SCH23390,f,10,0.3 mg/kg
23,18,1,SCH23390,f,2,0.3 mg/kg
0,18,3,haloperidol,f,1,0.3 mg/kg
1,18,3,haloperidol,f,1,0.3 mg/kg
2,18,3,haloperidol,f,7,0.3 mg/kg
3,18,3,haloperidol,f,7,0.3 mg/kg
4,18,3,haloperidol,f,6,0.3 mg/kg
5,18,3,haloperidol,f,10,0.3 mg/kg
6,18,3,haloperidol,f,6,0.3 mg/kg
7,18,3,haloperidol,f,12,0.3 mg/kg
8,18,3,haloperidol,f,13,0.3 mg/kg
9,18,3,haloperidol,f,16,0.3 mg/kg
10,18,3,haloperidol,f,9,0.3 mg/kg
11,18,3,haloperidol,f,0,0.3 mg/kg
12,18,3,haloperidol,f,9,0.3 mg/kg
13,18,3,haloperidol,f,4,0.3 mg/kg
14,18,3,haloperidol,f,9,0.3 mg/kg
15,18,3,haloperidol,f,4,0.3 mg/kg
16,18,3,haloperidol,f,1,0.3 mg/kg
17,18,3,haloperidol,f,1,0.3 mg/kg
18,18,3,haloperidol,f,6,0.3 mg/kg
19,18,3,haloperidol,f,3,0.3 mg/kg
20,18,3,haloperidol,f,6,0.3 mg/kg
21,18,3,haloperidol,f,2,0.3 mg/kg
22,18,3,haloperidol,f,6,0.3 mg/kg
23,18,3,haloperidol,f,1,0.3 mg/kg
0,18,5,saline,f,7,0.3 mg/kg
1,18,5,saline,f,0,0.3 mg/kg
2,18,5,saline,f,15,0.3 mg/kg
3,18,5,saline,f,5,0.3 mg/kg
4,18,5,saline,f,14,0.3 mg/kg
5,18,5,saline,f,5,0.3 mg/kg
6,18,5,saline,f,12,0.3 mg/kg
7,18,5,saline,f,7,0.3 mg/kg
8,18,5,saline,f,9,0.3 mg/kg
9,18,5,saline,f,9,0.3 mg/kg
10,18,5,saline,f,7,0.3 mg/kg
11,18,5,saline,f,0,0.3 mg/kg
12,18,5,saline,f,5,0.3 mg/kg
13,18,5,saline,f,6,0.3 mg/kg
14,18,5,saline,f,1,0.3 mg/kg
15,18,5,saline,f,6,0.3 mg/kg
16,18,5,saline,f,1,0.3 mg/kg
17,18,5,saline,f,3,0.3 mg/kg
18,18,5,saline,f,4,0.3 mg/kg
19,18,5,saline,f,11,0.3 mg/kg
20,18,5,saline,f,0,0.3 mg/kg
21,18,5,saline,f,4,0.3 mg/kg
22,18,5,saline,f,10,0.3 mg/kg
23,18,5,saline,f,5,0.3 mg/kg
