device_number,behavior,hoursfloor,event
1,Exploring,-46,1.0
1,Exploring,-45,1.0
1,Exploring,-41,3.0
1,Exploring,-40,6.0
1,Exploring,-39,3.0
1,Exploring,-35,2.0
1,Exploring,-34,1.0
1,Exploring,-31,2.0
1,Exploring,-29,1.0
1,Exploring,-28,3.0
1,Exploring,-26,1.0
1,Exploring,-25,3.0
1,Exploring,-24,1.0
1,Exploring,-23,1.0
1,Exploring,-22,1.0
1,Exploring,-16,1.0
1,Exploring,-14,1.0
1,Exploring,-13,2.0
1,Exploring,-5,3.0
1,Exploring,-3,2.0
1,Exploring,-2,1.0
1,Exploring,1,1.0
1,Exploring,3,1.0
1,Exploring,4,3.0
1,Exploring,7,1.0
1,Exploring,8,1.0
1,Exploring,9,2.0
1,Exploring,10,1.0
1,Exploring,12,2.0
1,Exploring,14,3.0
1,Exploring,15,2.0
1,Exploring,16,1.0
1,Exploring,18,2.0
1,Exploring,19,1.0
1,Exploring,27,1.0
1,Exploring,32,2.0
1,Exploring,37,1.0
1,Exploring,38,1.0
1,Exploring,39,1.0
1,Exploring,52,1.0
1,Exploring,53,2.0
1,Exploring,55,1.0
1,Exploring,56,3.0
1,Exploring,57,3.0
1,Exploring,58,3.0
1,Exploring,59,1.0
1,Exploring,60,5.0
1,Exploring,61,5.0
1,Exploring,62,5.0
1,Exploring,63,6.0
1,Exploring,65,5.0
1,Exploring,66,1.0
1,Seeking,-46,1.0
1,Seeking,-43,1.0
1,Seeking,-42,1.0
1,Seeking,-41,8.0
1,Seeking,-40,7.0
1,Seeking,-39,9.0
1,Seeking,-38,5.0
1,Seeking,-37,1.0
1,Seeking,-35,8.0
1,Seeking,-34,4.0
1,Seeking,-32,6.0
1,Seeking,-31,3.0
1,Seeking,-17,5.0
1,Seeking,-15,3.0
1,Seeking,-14,2.0
1,Seeking,-11,1.0
1,Seeking,-9,1.0
1,Seeking,-8,2.0
1,Seeking,1,3.0
1,Seeking,3,1.0
1,Seeking,6,1.0
1,Seeking,7,3.0
1,Seeking,8,3.0
1,Seeking,9,14.0
1,Seeking,10,4.0
1,Seeking,11,6.0
1,Seeking,12,1.0
1,Seeking,14,5.0
1,Seeking,15,13.0
1,Seeking,16,3.0
1,Seeking,17,1.0
1,Seeking,18,1.0
1,Seeking,19,6.0
1,Seeking,20,3.0
1,Seeking,22,3.0
1,Seeking,27,7.0
1,Seeking,28,1.0
1,Seeking,30,3.0
1,Seeking,31,1.0
1,Seeking,32,8.0
1,Seeking,33,5.0
1,Seeking,34,3.0
1,Seeking,35,9.0
1,Seeking,36,10.0
1,Seeking,37,13.0
1,Seeking,38,6.0
1,Seeking,39,2.0
1,Seeking,40,6.0
1,Seeking,41,5.0
1,Seeking,42,4.0
1,Seeking,44,6.0
1,Seeking,47,3.0
1,Seeking,48,1.0
1,Seeking,52,3.0
1,Seeking,53,3.0
1,Seeking,54,1.0
1,Seeking,55,10.0
1,Seeking,56,5.0
1,Seeking,57,5.0
1,Seeking,58,4.0
1,Seeking,59,9.0
1,Seeking,60,11.0
1,Seeking,61,6.0
1,Seeking,62,1.0
1,Seeking,63,6.0
1,Seeking,65,4.0
1,Seeking,66,2.0
1,Seeking,67,1.0
1,Seeking,69,3.0
1,Seeking,70,1.0
4,Exploring,-59,2.0
4,Exploring,-58,4.0
4,Exploring,-54,1.0
4,Exploring,-51,1.0
4,Exploring,-46,1.0
4,Exploring,-44,2.0
4,Exploring,-33,4.0
4,Exploring,-31,1.0
4,Exploring,-30,1.0
4,Exploring,-17,2.0
4,Exploring,-15,1.0
4,Exploring,-13,1.0
4,Exploring,-12,1.0
4,Exploring,-11,2.0
4,Exploring,-10,1.0
4,Exploring,-9,2.0
4,Exploring,-8,1.0
4,Exploring,-7,1.0
4,Exploring,9,1.0
4,Exploring,12,1.0
4,Exploring,16,3.0
4,Exploring,26,2.0
4,Exploring,32,1.0
4,Exploring,33,1.0
4,Exploring,34,2.0
4,Exploring,38,1.0
4,Exploring,40,2.0
4,Exploring,48,2.0
4,Exploring,55,1.0
4,Exploring,56,1.0
4,Exploring,59,2.0
4,Exploring,60,2.0
4,Exploring,62,4.0
4,Exploring,63,1.0
4,Exploring,64,2.0
4,Exploring,69,1.0
4,Seeking,-71,1.0
4,Seeking,-69,1.0
4,Seeking,-68,3.0
4,Seeking,-64,13.0
4,Seeking,-63,1.0
4,Seeking,-62,14.0
4,Seeking,-61,9.0
4,Seeking,-60,4.0
4,Seeking,-59,1.0
4,Seeking,-58,6.0
4,Seeking,-57,2.0
4,Seeking,-56,1.0
4,Seeking,-55,2.0
4,Seeking,-54,2.0
4,Seeking,-51,1.0
4,Seeking,-48,1.0
4,Seeking,-44,1.0
4,Seeking,-42,3.0
4,Seeking,-40,1.0
4,Seeking,-39,3.0
4,Seeking,-38,2.0
4,Seeking,-37,2.0
4,Seeking,-36,2.0
4,Seeking,-35,6.0
4,Seeking,-34,4.0
4,Seeking,-33,3.0
4,Seeking,-31,2.0
4,Seeking,-30,1.0
4,Seeking,-23,1.0
4,Seeking,-22,2.0
4,Seeking,-20,1.0
4,Seeking,-18,1.0
4,Seeking,-17,2.0
4,Seeking,-16,1.0
4,Seeking,-15,1.0
4,Seeking,-12,5.0
4,Seeking,-10,3.0
4,Seeking,-9,3.0
4,Seeking,-8,1.0
4,Seeking,-6,1.0
4,Seeking,-4,1.0
4,Seeking,1,1.0
4,Seeking,3,3.0
4,Seeking,4,7.0
4,Seeking,6,1.0
4,Seeking,7,3.0
4,Seeking,8,7.0
4,Seeking,9,5.0
4,Seeking,10,10.0
4,Seeking,11,6.0
4,Seeking,12,2.0
4,Seeking,13,8.0
4,Seeking,14,5.0
4,Seeking,15,4.0
4,Seeking,16,8.0
4,Seeking,17,1.0
4,Seeking,21,6.0
4,Seeking,25,2.0
4,Seeking,26,4.0
4,Seeking,27,3.0
4,Seeking,28,3.0
4,Seeking,29,1.0
4,Seeking,30,2.0
4,Seeking,31,6.0
4,Seeking,32,6.0
4,Seeking,33,4.0
4,Seeking,34,4.0
4,Seeking,35,8.0
4,Seeking,36,1.0
4,Seeking,37,2.0
4,Seeking,38,7.0
4,Seeking,39,6.0
4,Seeking,40,6.0
4,Seeking,41,2.0
4,Seeking,42,1.0
4,Seeking,44,5.0
4,Seeking,48,5.0
4,Seeking,52,3.0
4,Seeking,53,1.0
4,Seeking,54,7.0
4,Seeking,55,5.0
4,Seeking,56,4.0
4,Seeking,57,3.0
4,Seeking,58,5.0
4,Seeking,59,8.0
4,Seeking,60,4.0
4,Seeking,61,11.0
4,Seeking,62,5.0
4,Seeking,63,2.0
4,Seeking,64,3.0
4,Seeking,66,2.0
4,Seeking,68,2.0
4,Seeking,69,1.0
4,Seeking,71,3.0
7,Exploring,-63,1.0
7,Exploring,-60,1.0
7,Exploring,-59,4.0
7,Exploring,-58,2.0
7,Exploring,-56,2.0
7,Exploring,-55,1.0
7,Exploring,-52,1.0
7,Exploring,-46,1.0
7,Exploring,-41,1.0
7,Exploring,-39,1.0
7,Exploring,-38,1.0
7,Exploring,-32,1.0
7,Exploring,-26,1.0
7,Exploring,-15,1.0
7,Exploring,-14,2.0
7,Exploring,-13,3.0
7,Exploring,-8,1.0
7,Exploring,-7,2.0
7,Exploring,10,1.0
7,Exploring,12,3.0
7,Exploring,13,1.0
7,Exploring,30,2.0
7,Exploring,31,3.0
7,Exploring,32,2.0
7,Exploring,33,1.0
7,Exploring,34,1.0
7,Exploring,36,2.0
7,Exploring,37,2.0
7,Exploring,39,1.0
7,Exploring,43,1.0
7,Exploring,46,1.0
7,Exploring,52,1.0
7,Exploring,53,1.0
7,Exploring,54,3.0
7,Exploring,56,2.0
7,Exploring,57,1.0
7,Exploring,60,1.0
7,Exploring,61,6.0
7,Exploring,62,1.0
7,Exploring,65,1.0
7,Exploring,67,1.0
7,Exploring,68,1.0
7,Exploring,69,1.0
7,Seeking,-69,1.0
7,Seeking,-65,3.0
7,Seeking,-64,1.0
7,Seeking,-63,2.0
7,Seeking,-61,4.0
7,Seeking,-60,1.0
7,Seeking,-59,3.0
7,Seeking,-57,1.0
7,Seeking,-56,3.0
7,Seeking,-55,5.0
7,Seeking,-52,1.0
7,Seeking,-41,7.0
7,Seeking,-39,2.0
7,Seeking,-38,2.0
7,Seeking,-37,1.0
7,Seeking,-34,1.0
7,Seeking,-33,2.0
7,Seeking,-32,1.0
7,Seeking,-18,2.0
7,Seeking,-17,3.0
7,Seeking,-16,4.0
7,Seeking,-15,2.0
7,Seeking,-14,1.0
7,Seeking,-13,2.0
7,Seeking,-12,2.0
7,Seeking,-10,2.0
7,Seeking,-9,2.0
7,Seeking,-8,2.0
7,Seeking,2,2.0
7,Seeking,3,1.0
7,Seeking,6,2.0
7,Seeking,7,2.0
7,Seeking,8,5.0
7,Seeking,9,2.0
7,Seeking,10,4.0
7,Seeking,11,6.0
7,Seeking,12,11.0
7,Seeking,13,9.0
7,Seeking,14,9.0
7,Seeking,15,8.0
7,Seeking,17,1.0
7,Seeking,19,2.0
7,Seeking,25,1.0
7,Seeking,30,15.0
7,Seeking,31,7.0
7,Seeking,32,5.0
7,Seeking,33,11.0
7,Seeking,34,4.0
7,Seeking,36,10.0
7,Seeking,37,6.0
7,Seeking,38,5.0
7,Seeking,39,5.0
7,Seeking,43,2.0
7,Seeking,48,3.0
7,Seeking,51,1.0
7,Seeking,52,1.0
7,Seeking,53,1.0
7,Seeking,54,8.0
7,Seeking,55,4.0
7,Seeking,56,7.0
7,Seeking,57,3.0
7,Seeking,59,3.0
7,Seeking,60,7.0
7,Seeking,61,8.0
7,Seeking,62,3.0
7,Seeking,63,1.0
7,Seeking,67,1.0
7,Seeking,68,2.0
7,Seeking,71,1.0
8,Exploring,-63,1.0
8,Exploring,-61,2.0
8,Exploring,-60,1.0
8,Exploring,-59,6.0
8,Exploring,-55,3.0
8,Exploring,-53,1.0
8,Exploring,-52,1.0
8,Exploring,-48,1.0
8,Exploring,-45,1.0
8,Exploring,-41,2.0
8,Exploring,-38,5.0
8,Exploring,-37,9.0
8,Exploring,-36,2.0
8,Exploring,-35,1.0
8,Exploring,-32,2.0
8,Exploring,-31,1.0
8,Exploring,-28,1.0
8,Exploring,-27,1.0
8,Exploring,-21,2.0
8,Exploring,-17,1.0
8,Exploring,-15,1.0
8,Exploring,-14,2.0
8,Exploring,-13,2.0
8,Exploring,-12,4.0
8,Exploring,-11,1.0
8,Exploring,-8,4.0
8,Exploring,1,2.0
8,Exploring,2,1.0
8,Exploring,3,1.0
8,Exploring,5,1.0
8,Exploring,6,1.0
8,Exploring,11,2.0
8,Exploring,12,2.0
8,Exploring,13,6.0
8,Exploring,16,1.0
8,Exploring,19,1.0
8,Exploring,20,3.0
8,Exploring,22,1.0
8,Exploring,36,1.0
8,Exploring,38,1.0
8,Exploring,40,2.0
8,Exploring,42,1.0
8,Exploring,43,1.0
8,Exploring,44,1.0
8,Seeking,-63,1.0
8,Seeking,-61,2.0
8,Seeking,-59,1.0
8,Seeking,-46,1.0
8,Seeking,-41,3.0
8,Seeking,-40,1.0
8,Seeking,-39,2.0
8,Seeking,-38,3.0
8,Seeking,-37,1.0
8,Seeking,-36,1.0
8,Seeking,-32,1.0
8,Seeking,-26,1.0
8,Seeking,-22,1.0
8,Seeking,-15,2.0
8,Seeking,-14,3.0
8,Seeking,-13,2.0
8,Seeking,-12,3.0
8,Seeking,-11,1.0
8,Seeking,-8,1.0
8,Seeking,-7,1.0
8,Seeking,9,2.0
8,Seeking,10,5.0
8,Seeking,11,26.0
8,Seeking,12,7.0
8,Seeking,13,20.0
8,Seeking,14,16.0
8,Seeking,15,14.0
8,Seeking,16,12.0
8,Seeking,17,3.0
8,Seeking,19,1.0
8,Seeking,20,1.0
8,Seeking,24,2.0
8,Seeking,26,1.0
8,Seeking,29,2.0
8,Seeking,30,5.0
8,Seeking,31,2.0
8,Seeking,32,2.0
8,Seeking,33,6.0
8,Seeking,34,7.0
8,Seeking,35,2.0
8,Seeking,36,13.0
8,Seeking,37,4.0
8,Seeking,38,15.0
8,Seeking,39,10.0
8,Seeking,40,6.0
8,Seeking,41,8.0
8,Seeking,42,3.0
8,Seeking,46,1.0
8,Seeking,47,1.0
10,Exploring,-65,2.0
10,Exploring,-61,1.0
10,Exploring,-60,2.0
10,Exploring,-58,1.0
10,Exploring,-56,1.0
10,Exploring,-46,1.0
10,Exploring,-41,1.0
10,Exploring,-40,2.0
10,Exploring,-39,4.0
10,Exploring,-38,2.0
10,Exploring,-37,1.0
10,Exploring,-36,2.0
10,Exploring,-34,1.0
10,Exploring,-33,1.0
10,Exploring,-27,1.0
10,Exploring,-20,1.0
10,Exploring,-18,1.0
10,Exploring,-17,1.0
10,Exploring,-15,1.0
10,Exploring,-14,2.0
10,Exploring,-13,2.0
10,Exploring,-12,1.0
10,Exploring,-9,2.0
10,Exploring,-8,1.0
10,Exploring,2,1.0
10,Exploring,7,1.0
10,Exploring,9,1.0
10,Exploring,10,1.0
10,Exploring,30,1.0
10,Exploring,31,1.0
10,Exploring,34,2.0
10,Exploring,35,2.0
10,Exploring,36,4.0
10,Exploring,37,2.0
10,Exploring,38,1.0
10,Exploring,39,2.0
10,Exploring,40,2.0
10,Exploring,43,1.0
10,Exploring,47,1.0
10,Exploring,48,2.0
10,Exploring,49,2.0
10,Exploring,54,1.0
10,Exploring,55,2.0
10,Exploring,57,1.0
10,Exploring,63,2.0
10,Exploring,65,1.0
10,Seeking,-64,1.0
10,Seeking,-60,2.0
10,Seeking,-57,3.0
10,Seeking,-56,2.0
10,Seeking,-42,1.0
10,Seeking,-41,1.0
10,Seeking,-40,1.0
10,Seeking,-39,2.0
10,Seeking,-38,1.0
10,Seeking,-37,2.0
10,Seeking,-36,1.0
10,Seeking,-35,1.0
10,Seeking,-34,3.0
10,Seeking,-33,1.0
10,Seeking,-32,1.0
10,Seeking,-31,1.0
10,Seeking,-23,1.0
10,Seeking,-18,3.0
10,Seeking,-17,1.0
10,Seeking,-16,2.0
10,Seeking,-15,1.0
10,Seeking,-14,3.0
10,Seeking,-12,2.0
10,Seeking,-9,1.0
10,Seeking,-8,1.0
10,Seeking,7,2.0
10,Seeking,8,4.0
10,Seeking,9,5.0
10,Seeking,10,8.0
10,Seeking,11,15.0
10,Seeking,12,6.0
10,Seeking,13,5.0
10,Seeking,15,4.0
10,Seeking,16,4.0
10,Seeking,22,1.0
10,Seeking,23,2.0
10,Seeking,25,5.0
10,Seeking,26,1.0
10,Seeking,27,5.0
10,Seeking,29,4.0
10,Seeking,30,7.0
10,Seeking,31,9.0
10,Seeking,32,3.0
10,Seeking,33,4.0
10,Seeking,34,8.0
10,Seeking,35,8.0
10,Seeking,36,11.0
10,Seeking,37,7.0
10,Seeking,38,6.0
10,Seeking,39,7.0
10,Seeking,40,4.0
10,Seeking,41,1.0
10,Seeking,42,1.0
10,Seeking,43,4.0
10,Seeking,45,1.0
10,Seeking,47,1.0
10,Seeking,48,1.0
10,Seeking,49,3.0
10,Seeking,50,6.0
10,Seeking,51,1.0
10,Seeking,52,1.0
10,Seeking,53,3.0
10,Seeking,54,5.0
10,Seeking,55,12.0
10,Seeking,56,2.0
10,Seeking,57,4.0
10,Seeking,58,1.0
10,Seeking,59,5.0
10,Seeking,60,6.0
10,Seeking,61,1.0
10,Seeking,63,8.0
10,Seeking,69,2.0
11,Exploring,-70,1.0
11,Exploring,-66,3.0
11,Exploring,-65,2.0
11,Exploring,-63,2.0
11,Exploring,-59,1.0
11,Exploring,-56,1.0
11,Exploring,-52,2.0
11,Exploring,-42,1.0
11,Exploring,-41,3.0
11,Exploring,-40,1.0
11,Exploring,-39,1.0
11,Exploring,-38,1.0
11,Exploring,-37,1.0
11,Exploring,-36,1.0
11,Exploring,-35,2.0
11,Exploring,-15,1.0
11,Exploring,-14,2.0
11,Exploring,-11,2.0
11,Exploring,-10,2.0
11,Exploring,-7,1.0
11,Exploring,-5,1.0
11,Exploring,2,1.0
11,Exploring,26,1.0
11,Exploring,28,1.0
11,Exploring,29,1.0
11,Exploring,35,1.0
11,Exploring,38,1.0
11,Exploring,40,1.0
11,Exploring,41,1.0
11,Exploring,44,1.0
11,Exploring,61,1.0
11,Exploring,65,1.0
11,Seeking,-70,1.0
11,Seeking,-68,1.0
11,Seeking,-67,1.0
11,Seeking,-66,2.0
11,Seeking,-65,8.0
11,Seeking,-64,6.0
11,Seeking,-63,7.0
11,Seeking,-62,4.0
11,Seeking,-61,6.0
11,Seeking,-60,2.0
11,Seeking,-57,2.0
